node_id,x,y,demand,is_transshipment,is_depot,ready_time,due_time,service_time,order_id,is_dynamic,dynamic_appear_time,transfer_capacity
13,7.887931648364422,60.796604854070715,-3,0,0,286,372,8,23,,,
47,56.04533636006545,62.35316532441113,3,0,0,256,356,18,23,,,
72,20.432466143702765,72.10458363010784,-3,0,0,249,358,14,24,,,
49,61.54321252076775,64.57222146479728,3,0,0,198,297,18,24,,,
53,16.536083718035954,99.26829520836597,-2,0,0,99,169,19,25,,,
52,23.86058877840862,7.106167482348724,2,0,0,304,400,14,25,,,
55,17.056935688526444,42.536087134084966,-4,0,0,6,181,16,26,,,
56,96.05184670334486,9.113225141929993,4,0,0,356,470,8,26,,,
63,69.06103562406165,20.828030942441313,-3,0,0,6,130,17,27,,,
57,59.39842838125028,91.91719006963021,3,0,0,281,414,5,27,,,
36,22.58579628056866,18.7552687205654,-4,0,0,44,208,8,28,,,
58,94.96833729542506,84.60074771117758,4,0,0,62,144,17,28,,,
39,80.21808294871632,13.683441128259567,-3,0,0,321,472,9,29,,,
60,22.042310809499256,73.06785444849197,3,0,0,41,213,11,29,,,
27,48.109988120793936,99.61040885935458,-2,0,0,254,384,15,30,,,
62,26.069735907690117,57.34710677649978,2,0,0,215,329,12,30,,,
50,49.77435057634385,90.95942171763384,-2,0,0,78,252,7,31,,,
66,15.526681011120115,62.3449895305657,2,0,0,120,253,8,31,,,
38,91.66000757823358,4.2435090795706625,-4,0,0,327,388,17,32,,,
67,58.62329891525718,33.80121877138049,4,0,0,41,174,14,32,,,
32,49.90178338289586,61.930036374745036,-3,0,0,8,98,6,33,,,
68,29.58936675458872,34.724446166228404,3,0,0,279,439,9,33,,,
5,85.7169164309525,20.996760869360443,-4,0,0,197,362,15,34,,,
69,48.98833384988202,97.48197351111612,4,0,0,50,198,18,34,,,
81,87.06420374149644,10.918017888414855,-2,0,0,74,134,16,35,,,
70,76.35646220262063,85.17397391654885,2,0,0,116,262,7,35,,,
35,3.212514825947277,71.17741338304677,-4,0,0,232,409,19,36,,,
71,50.56495689035311,52.612361177877695,4,0,0,235,370,10,36,,,
25,38.65392921383477,21.68611327960016,-4,0,0,189,288,19,37,,,
73,42.15840057906362,74.24468588177112,4,0,0,156,250,16,37,,,
65,61.23499091480522,30.598792973983414,-2,0,0,340,489,15,38,,,
76,25.86164895589326,26.43544225670693,2,0,0,190,318,12,38,,,
